instance branches_melo branches_carrabs
Spd_RF2_200_222_3811 55 54
Spd_RF2_350_435_4515 81 77
Spd_RF2_200_222_3819 55 54
Spd_RF2_350_435_4523 75 74
Spd_RF2_200_222_3827 53 51
Spd_RF2_350_463_4531 69 70
Spd_RF2_200_222_3835 54 52
Spd_RF2_350_463_4539 70 70
Spd_RF2_200_222_3843 55 54
Spd_RF2_350_463_4547 67 71
Spd_RF2_200_244_3851 43 46
Spd_RF2_350_463_4555 68 70
Spd_RF2_200_244_3859 46 49
Spd_RF2_350_463_4563 66 73
Spd_RF2_200_244_3867 45 43
Spd_RF2_350_492_4571 55 62
Spd_RF2_200_244_3875 42 43
Spd_RF2_350_492_4579 62 64
Spd_RF2_200_244_3883 45 45
Spd_RF2_350_492_4587 59 60
Spd_RF2_200_267_3891 36 37
Spd_RF2_350_492_4595 59 57
Spd_RF2_200_267_3899 37 39
Spd_RF2_350_492_4603 59 63
Spd_RF2_200_267_3907 37 37
Spd_RF2_400_429_4611 118 118
Spd_RF2_200_267_3915 36 39
Spd_RF2_400_429_4619 118 116
Spd_RF2_200_267_3923 36 41
Spd_RF2_400_429_4627 115 116
Spd_RF2_200_289_3931 28 30
Spd_RF2_400_429_4635 117 115
Spd_RF2_200_289_3939 29 35
Spd_RF2_400_429_4643 118 117
Spd_RF2_200_289_3947 31 35
Spd_RF2_400_459_4651 106 105
Spd_RF2_200_289_3955 31 34
Spd_RF2_400_459_4659 101 100
Spd_RF2_200_289_3963 30 32
Spd_RF2_400_459_4667 102 106
Spd_RF2_200_312_3971 24 23
Spd_RF2_400_459_4675 104 106
Spd_RF2_200_312_3979 23 27
Spd_RF2_400_459_4683 103 103
Spd_RF2_200_312_3987 26 29
Spd_RF2_400_489_4691 87 87
Spd_RF2_200_312_3995 23 26
Spd_RF2_400_489_4699 92 98
Spd_RF2_200_312_4003 28 30
Spd_RF2_400_489_4707 90 95
Spd_RF2_250_273_4011 71 71
Spd_RF2_400_489_4715 91 88
Spd_RF2_250_273_4019 70 66
Spd_RF2_400_489_4723 92 92
