instance branches
Spd_RF2_100_114_1811 30
Spd_RF2_100_114_1819 29
Spd_RF2_100_114_1827 30
Spd_RF2_100_114_1835 29
Spd_RF2_100_114_1843 29
Spd_RF2_100_129_1851 28
Spd_RF2_100_129_1859 28
Spd_RF2_100_129_1867 25
Spd_RF2_100_129_1875 25
Spd_RF2_100_129_1883 24
Spd_RF2_100_144_1891 22
Spd_RF2_100_144_1899 24
Spd_RF2_100_144_1907 23
Spd_RF2_100_144_1915 25
Spd_RF2_100_144_1923 22
Spd_RF2_100_159_1931 19
Spd_RF2_100_159_1939 27
Spd_RF2_100_159_1947 19
Spd_RF2_100_159_1955 23
Spd_RF2_100_159_1963 22
Spd_RF2_100_174_1971 20
Spd_RF2_100_174_1979 20
Spd_RF2_100_174_1987 20
Spd_RF2_100_174_1995 19
Spd_RF2_100_174_2003 21
Spd_RF2_120_136_2211 38
Spd_RF2_120_136_2219 34
Spd_RF2_120_136_2227 32
Spd_RF2_120_136_2235 40
Spd_RF2_120_136_2243 37
Spd_RF2_120_152_2251 36
Spd_RF2_120_152_2259 29
Spd_RF2_120_152_2267 32
Spd_RF2_120_152_2275 30
Spd_RF2_120_152_2283 39
Spd_RF2_120_169_2291 26
Spd_RF2_120_169_2299 30
Spd_RF2_120_169_2307 24
Spd_RF2_120_169_2315 30
Spd_RF2_120_169_2323 26
Spd_RF2_120_185_2331 24
Spd_RF2_120_185_2339 28
Spd_RF2_120_185_2347 25
Spd_RF2_120_185_2355 27
Spd_RF2_120_185_2363 25
Spd_RF2_120_202_2371 24
Spd_RF2_120_202_2379 22
Spd_RF2_120_202_2387 24
Spd_RF2_120_202_2395 23
Spd_RF2_120_202_2403 22
Spd_RF2_140_157_2611 42
Spd_RF2_140_157_2619 40
Spd_RF2_140_157_2627 40
Spd_RF2_140_157_2635 40
Spd_RF2_140_157_2643 41
Spd_RF2_140_175_2651 35
Spd_RF2_140_175_2659 38
Spd_RF2_140_175_2667 38
Spd_RF2_140_175_2675 40
Spd_RF2_140_175_2683 35
Spd_RF2_140_193_2691 33
Spd_RF2_140_193_2699 35
Spd_RF2_140_193_2707 39
Spd_RF2_140_193_2715 31
Spd_RF2_140_193_2723 34
Spd_RF2_140_211_2731 32
Spd_RF2_140_211_2739 36
Spd_RF2_140_211_2747 35
Spd_RF2_140_211_2755 31
Spd_RF2_140_211_2763 32
Spd_RF2_140_229_2771 29
Spd_RF2_140_229_2779 31
Spd_RF2_140_229_2787 29
Spd_RF2_140_229_2795 29
Spd_RF2_140_229_2803 26
Spd_RF2_160_179_3011 48
Spd_RF2_160_179_3019 48
Spd_RF2_160_179_3027 48
Spd_RF2_160_179_3035 47
Spd_RF2_160_179_3043 48
Spd_RF2_160_198_3051 47
Spd_RF2_160_198_3059 42
Spd_RF2_160_198_3067 44
Spd_RF2_160_198_3075 41
Spd_RF2_160_198_3083 45
Spd_RF2_160_218_3091 40
Spd_RF2_160_218_3099 39
Spd_RF2_160_218_3107 42
Spd_RF2_160_218_3115 40
Spd_RF2_160_218_3123 35
Spd_RF2_160_237_3131 38
Spd_RF2_160_237_3139 31
Spd_RF2_160_237_3147 34
Spd_RF2_160_237_3155 37
Spd_RF2_160_237_3163 35
Spd_RF2_160_257_3171 34
Spd_RF2_160_257_3179 31
Spd_RF2_160_257_3187 32
Spd_RF2_160_257_3195 33
Spd_RF2_160_257_3203 32
Spd_RF2_180_200_3411 55
Spd_RF2_180_200_3419 52
Spd_RF2_180_200_3427 51
Spd_RF2_180_200_3435 53
Spd_RF2_180_200_3443 58
Spd_RF2_180_221_3451 43
Spd_RF2_180_221_3459 48
Spd_RF2_180_221_3467 46
Spd_RF2_180_221_3475 51
Spd_RF2_180_221_3483 47
Spd_RF2_180_242_3491 41
Spd_RF2_180_242_3499 43
Spd_RF2_180_242_3507 45
Spd_RF2_180_242_3515 44
Spd_RF2_180_242_3523 44
Spd_RF2_180_263_3531 44
Spd_RF2_180_263_3539 37
Spd_RF2_180_263_3547 39
Spd_RF2_180_263_3555 41
Spd_RF2_180_263_3563 43
Spd_RF2_180_284_3571 40
Spd_RF2_180_284_3579 39
Spd_RF2_180_284_3587 37
Spd_RF2_180_284_3595 36
Spd_RF2_180_284_3603 39
Spd_RF2_200_222_3811 58
Spd_RF2_200_222_3819 60
Spd_RF2_200_222_3827 60
Spd_RF2_200_222_3835 58
Spd_RF2_200_222_3843 59
Spd_RF2_200_244_3851 55
Spd_RF2_200_244_3859 59
Spd_RF2_200_244_3867 52
Spd_RF2_200_244_3875 53
Spd_RF2_200_244_3883 59
Spd_RF2_200_267_3891 49
Spd_RF2_200_267_3899 56
Spd_RF2_200_267_3907 45
Spd_RF2_200_267_3915 56
Spd_RF2_200_267_3923 50
Spd_RF2_200_289_3931 44
Spd_RF2_200_289_3939 42
Spd_RF2_200_289_3947 48
Spd_RF2_200_289_3955 45
Spd_RF2_200_289_3963 54
Spd_RF2_200_312_3971 42
Spd_RF2_200_312_3979 44
Spd_RF2_200_312_3987 41
Spd_RF2_200_312_3995 54
Spd_RF2_200_312_4003 48
Spd_RF2_20_27_211 4
Spd_RF2_20_27_219 4
Spd_RF2_20_27_227 5
Spd_RF2_20_27_235 5
Spd_RF2_20_27_243 5
Spd_RF2_20_34_251 4
Spd_RF2_20_34_259 3
Spd_RF2_20_34_267 4
Spd_RF2_20_34_275 3
Spd_RF2_20_34_283 4
Spd_RF2_20_42_291 2
Spd_RF2_20_42_299 3
Spd_RF2_20_42_307 3
Spd_RF2_20_42_315 3
Spd_RF2_20_42_323 3
Spd_RF2_20_49_331 3
Spd_RF2_20_49_339 3
Spd_RF2_20_49_347 4
Spd_RF2_20_49_355 3
Spd_RF2_20_49_363 4
Spd_RF2_20_57_371 3
Spd_RF2_20_57_379 3
Spd_RF2_20_57_387 2
Spd_RF2_20_57_395 3
Spd_RF2_20_57_403 2
Spd_RF2_250_273_4011 79
Spd_RF2_250_273_4019 77
Spd_RF2_250_273_4027 74
Spd_RF2_250_273_4035 74
Spd_RF2_250_273_4043 76
Spd_RF2_250_297_4051 66
Spd_RF2_250_297_4059 77
Spd_RF2_250_297_4067 74
Spd_RF2_250_297_4075 69
Spd_RF2_250_297_4083 72
Spd_RF2_250_321_4091 65
Spd_RF2_250_321_4099 68
Spd_RF2_250_321_4107 64
Spd_RF2_250_321_4115 62
Spd_RF2_250_321_4123 63
Spd_RF2_250_345_4131 70
Spd_RF2_250_345_4139 64
Spd_RF2_250_345_4147 57
Spd_RF2_250_345_4155 74
Spd_RF2_250_345_4163 61
Spd_RF2_250_369_4171 61
Spd_RF2_250_369_4179 65
Spd_RF2_250_369_4187 62
Spd_RF2_250_369_4195 55
Spd_RF2_250_369_4203 61
Spd_RF2_300_326_4211 91
Spd_RF2_300_326_4219 85
Spd_RF2_300_326_4227 93
Spd_RF2_300_326_4235 94
Spd_RF2_300_326_4243 97
Spd_RF2_300_353_4251 86
Spd_RF2_300_353_4259 89
Spd_RF2_300_353_4267 85
Spd_RF2_300_353_4275 81
Spd_RF2_300_353_4283 92
Spd_RF2_300_380_4291 81
Spd_RF2_300_380_4299 73
Spd_RF2_300_380_4307 83
Spd_RF2_300_380_4315 83
Spd_RF2_300_380_4323 83
Spd_RF2_300_407_4331 71
Spd_RF2_300_407_4339 85
Spd_RF2_300_407_4347 90
Spd_RF2_300_407_4355 71
Spd_RF2_300_407_4363 75
Spd_RF2_300_434_4371 71
Spd_RF2_300_434_4379 70
Spd_RF2_300_434_4387 69
Spd_RF2_300_434_4395 72
Spd_RF2_300_434_4403 70
Spd_RF2_350_378_4411 106
Spd_RF2_350_378_4419 105
Spd_RF2_350_378_4427 108
Spd_RF2_350_378_4435 106
Spd_RF2_350_378_4443 106
Spd_RF2_350_406_4451 103
Spd_RF2_350_406_4459 100
Spd_RF2_350_406_4467 101
Spd_RF2_350_406_4475 103
Spd_RF2_350_406_4483 100
Spd_RF2_350_435_4491 88
Spd_RF2_350_435_4499 92
Spd_RF2_350_435_4507 92
Spd_RF2_350_435_4515 98
Spd_RF2_350_435_4523 100
Spd_RF2_350_463_4531 90
Spd_RF2_350_463_4539 89
Spd_RF2_350_463_4547 91
Spd_RF2_350_463_4555 92
Spd_RF2_350_463_4563 87
Spd_RF2_350_492_4571 88
Spd_RF2_350_492_4579 82
Spd_RF2_350_492_4587 79
Spd_RF2_350_492_4595 79
Spd_RF2_350_492_4603 98
Spd_RF2_400_429_4611 122
Spd_RF2_400_429_4619 120
Spd_RF2_400_429_4627 123
Spd_RF2_400_429_4635 120
Spd_RF2_400_429_4643 122
Spd_RF2_400_459_4651 127
Spd_RF2_400_459_4659 111
Spd_RF2_400_459_4667 115
Spd_RF2_400_459_4675 113
Spd_RF2_400_459_4683 116
Spd_RF2_400_489_4691 106
Spd_RF2_400_489_4699 118
Spd_RF2_400_489_4707 107
Spd_RF2_400_489_4715 107
Spd_RF2_400_489_4723 112
Spd_RF2_400_519_4731 104
Spd_RF2_400_519_4739 97
Spd_RF2_400_519_4747 97
Spd_RF2_400_519_4755 110
Spd_RF2_400_519_4763 105
Spd_RF2_400_549_4771 100
Spd_RF2_400_549_4779 102
Spd_RF2_400_549_4787 103
Spd_RF2_400_549_4795 88
Spd_RF2_400_549_4803 97
Spd_RF2_40_50_611 10
Spd_RF2_40_50_619 10
Spd_RF2_40_50_627 12
Spd_RF2_40_50_635 10
Spd_RF2_40_50_643 8
Spd_RF2_40_60_651 9
Spd_RF2_40_60_659 9
Spd_RF2_40_60_667 8
Spd_RF2_40_60_675 12
Spd_RF2_40_60_683 10
